listing_type,Property_type,Price,City,Address,Rooms,Floor,Area,Parking_spots
buy,Apartment,1499000,Rishon LeTsiyon,Dror St. ,4.0,1.0,90,1
buy,Apartment,1685000,Rishon LeTsiyon,Alkalai St. ,4.0,3.0,107,1
buy,Apartment,1675000,Rishon LeTsiyon,Kharlap St. ,4.0,3.0,107,1
buy,Apartment,2450000,Rishon LeTsiyon,Tsvi Hirschfeld St. ,4.0,4.0,90,2
buy,Apartment,1440000,Rishon LeTsiyon,Abarbanel St. ,3.5,1.0,75,1
buy,Apartment,1395000,Rishon LeTsiyon,Herzl St. ,3.0,2.0,70,0
buy,Apartment,2450000,Rishon LeTsiyon,Keren ha-Yesod St. ,4.5,3.0,115,1
buy,Apartment,3150000,Tel Aviv-Yafo,Shlomo Ibn Gabirol St.  128,2.5,12.0,65,1
buy,Rooftop apt,4800000,Tel Aviv-Yafo,Nechemiah St. ,4.0,6.0,74,1
buy,Duplex,8500000,Tel Aviv-Yafo,Feierberg St. ,8.0,0.0,200,0
buy,Apartment,3290000,Tel Aviv-Yafo,Ovadya mi-Bartenura St. ,2.5,3.0,59,0
buy,Cottage/house,15250000,Tel Aviv-Yafo,Kerem HaTeimanim St. ,9.0,4.0,300,2
buy,Apartment,4650000,Tel Aviv-Yafo,Ussishkin St. ,3.0,4.0,70,0
buy,Apartment,3290000,Tel Aviv-Yafo,Daniel St. ,3.0,2.0,61,0
buy,Apartment,2900000,Tel Aviv-Yafo,Mikve Israel St. ,2.0,3.0,47,0
buy,Apartment,7900000,Tel Aviv-Yafo,Levontin St. ,3.0,5.0,111,1
buy,Apartment,3500000,Tel Aviv-Yafo,Vitkin St. ,2.0,3.0,53,2
buy,Apartment,2990000,Tel Aviv-Yafo,Shefer St. ,2.0,2.0,45,1
buy,Apartment,2990000,Tel Aviv-Yafo,Rashi St. ,3.0,2.0,76,0
buy,Apartment,2950000,Tel Aviv-Yafo,King George St. ,3.0,3.0,80,0
buy,Apartment,3190000,Tel Aviv-Yafo,Frishman St. ,2.5,3.0,67,0
buy,Apartment,2980000,Tel Aviv-Yafo,George Eliot St. ,2.0,3.0,50,0
buy,Apartment,3780000,Tel Aviv-Yafo,Arlozorov St. ,3.0,6.0,81,1
buy,Apartment,4850000,Tel Aviv-Yafo,Aluf Kalman Magen St. ,4.0,16.0,100,1
buy,Apartment,3850000,Tel Aviv-Yafo,HaYarkon St. ,3.0,1.0,78,1
buy,Apartment,2900000,Tel Aviv-Yafo,Yehuda ha-Levi St. ,2.0,1.0,50,1
buy,Apartment,1870000,Tel Aviv-Yafo,Neve Shaanan St. ,2.0,5.0,52,0
buy,Garden apt,2420000,Tel Aviv-Yafo,HaRakevet St. ,2.0,0.0,46,0
buy,Apartment,3190000,Tel Aviv-Yafo,HaNeviim St. ,2.0,2.0,70,0
buy,Duplex,4350000,Tel Aviv-Yafo,Dam ha-Maccabim St. ,5.0,2.0,140,0
buy,Apartment,3800000,Tel Aviv-Yafo,Dizengoff St. ,3.0,6.0,71,0
buy,Apartment,2520000,Tel Aviv-Yafo,Byron St. ,2.0,0.0,45,0
buy,Apartment,2400000,Tel Aviv-Yafo,Simtat Aluf Batslut ,3.0,4.0,50,1
buy,Apartment,3200000,Tel Aviv-Yafo,Tsidon St. ,2.5,1.0,67,0
buy,Penthouse,3900000,Jerusalem,Moshe Sharet St. ,5.0,8.0,190,0
buy,Cottage/house,4600000,Tel Aviv-Yafo,Yigal Alon St. ,4.0,2.0,105,0
buy,Apartment,3300000,Tel Aviv-Yafo,Harav Reines St. ,3.0,1.0,65,0
buy,Apartment,3500000,Tel Aviv-Yafo,Zrubavel St. ,3.0,0.0,71,0
buy,Apartment,3080000,Tel Aviv-Yafo,Dizengoff St. ,2.0,1.0,48,0
buy,Duplex,8900000,Tel Aviv-Yafo,Simtat Beit HaShoeva ,5.0,4.0,154,2
buy,Apartment,3850000,Tel Aviv-Yafo,HaMaccabi St. ,3.5,3.0,76,0
buy,Apartment,12900000,Tel Aviv-Yafo,Nechemiah St. ,5.5,5.0,193,1
buy,Apartment,2140000,Tel Aviv-Yafo,Bograshov St. ,1.0,1.0,32,0
buy,Garden apt,8800000,Tel Aviv-Yafo,Yehuda ha-Levi St. ,5.0,0.0,150,1
buy,Apartment,3200000,Tel Aviv-Yafo,Elifelet St. ,2.0,12.0,60,2
buy,Rooftop apt,12900000,Tel Aviv-Yafo,Byron St. ,15.0,2.0,428,0
buy,Apartment,5900000,Tel Aviv-Yafo,Nissim Aloni St. ,5.0,8.0,136,2
buy,Apartment,4400000,Tel Aviv-Yafo,Yonatan Havafsi St. ,4.0,2.0,97,1
buy,Apartment,2620000,Tel Aviv-Yafo,Sderot David HaMelech ,2.5,0.0,45,0
buy,Apartment,2390000,Tel Aviv-Yafo,Herzl St. ,2.0,4.0,42,0
buy,Apartment,3120000,Tel Aviv-Yafo,Sderot Masaryk ,3.0,0.0,74,0
buy,Apartment,2450000,Tel Aviv-Yafo,Herzl Rosenblum St. ,2.0,1.0,58,1
buy,Apartment,2480000,Tel Aviv-Yafo,Simtat Beit HaShoeva ,2.0,4.0,38,1
buy,Apartment,1195000,Ramla,HaRav Arye Levin St.  5,3.0,2.0,70,0
buy,Apartment,3080000,Ashdod,Sderot Yerushalayim  14,5.0,12.0,228,1
buy,Rooftop apt,1750000,Holon,Ha-Pardes St. ,5.0,3.0,120,0
buy,Apartment,2400000,Ashdod,Ha-Eshkol St. ,5.0,6.0,155,0
buy,Apartment,2900000,Ashdod,Sderot Herzl  14,5.0,5.0,260,1
buy,Apartment,1370000,Ashdod,Zalman Aran St.  5,4.0,1.0,106,0
buy,Apartment,2100000,Ashdod,Balfour St.  7,5.0,11.0,120,1
buy,Garden apt,3000000,Ashdod,Tapuz ,4.0,0.0,156,1
buy,Apartment,2850000,Ashdod,Yaffa Yarkoni St.  10,5.0,4.0,180,1
buy,Apartment,1300000,Ashdod,Keren ha-Yesod St. ,3.0,1.0,80,0
buy,Apartment,1900000,Ashdod,Adar St. ,4.0,1.0,130,0
buy,Apartment,2126000,Ashdod,HaHadas St. ,4.0,6.0,130,0
buy,Apartment,1850000,Ashdod,Adar St.  7,5.0,4.0,135,0
buy,Apartment,1480000,Ashdod,Mevo HaIrit ,4.0,5.0,113,0
buy,Apartment,1550000,Ashdod,Ha-Khartsit St. ,4.0,5.0,101,0
buy,Garden apt,2200000,Ashdod,Amatsya ha-Melekh St. ,4.0,0.0,100,1
buy,Apartment,1450000,Ashdod,Mevo HaIrit  12,4.0,1.0,115,0
buy,Apartment,1450000,Ashdod,Kikar Sigal ,4.0,5.0,110,0
buy,Penthouse,2480000,Ashdod,Sderot Yerushalayim  5,6.0,9.0,200,1
buy,Apartment,3600000,Ashdod,Kineret St. ,5.0,17.0,210,1
buy,Apartment,1270000,Ashdod,Mevo HaKarkom ,5.0,6.0,112,1
buy,Apartment,4000000,Ashdod,Egoz St. ,6.0,5.0,155,2
buy,Apartment,3800000,Jerusalem,Makhal St.  26,4.5,2.0,145,1
buy,Apartment,1950000,Rishon LeTsiyon,Tsvi Herman Shapira St.  16,4.0,2.0,110,1
buy,Apartment,3700000,Jerusalem,Revadim St. ,6.0,2.0,155,2
buy,Garden apt,8900000,Tel Aviv-Yafo,Mapu St. ,4.0,0.0,185,1
buy,Apartment,6900000,Tel Aviv-Yafo,Rothschild Boulevard  36,2.5,13.0,110,1
buy,Penthouse,12500000,Tel Aviv-Yafo,Yirmeyahu St. ,4.5,7.0,250,0
buy,Apartment,11500000,Tel Aviv-Yafo,HaYarkon St. ,3.0,19.0,143,1
buy,Penthouse,30000000,Tel Aviv-Yafo,Geula St. ,6.0,10.0,308,2
buy,Apartment,5200000,Tel Aviv-Yafo,HaYarkon St. ,2.5,3.0,78,0
buy,Apartment,9200000,Tel Aviv-Yafo,Ezra HaSofer St. ,4.0,5.0,130,0
buy,Apartment,9500000,Tel Aviv-Yafo,Rothschild Boulevard  17,3.5,7.0,137,2
buy,Apartment,8300000,Tel Aviv-Yafo,Pines St.  41,4.0,22.0,126,2
buy,Penthouse,9500000,Tel Aviv-Yafo,Kehilat Eden St. ,4.0,3.0,155,1
buy,Penthouse,19000000,Tel Aviv-Yafo,Pinsker St. ,4.5,4.0,209,1
buy,Apartment,11900000,Tel Aviv-Yafo,J. L. Gordon St. ,4.0,2.0,155,0
buy,Apartment,8500000,Tel Aviv-Yafo,Rothschild Boulevard ,3.5,3.0,113,2
buy,Apartment,7500000,Tel Aviv-Yafo,Pines St. ,4.5,10.0,126,2
buy,Apartment,5650000,Tel Aviv-Yafo,HaYarkon St.  29,2.0,10.0,67,1
buy,Cottage/house,3290000,Oranit,Ha-Alon St. ,5.0,2.0,200,3
buy,Apartment,1330000,Ariel,Sheshet ha-Yamim St. ,4.0,2.0,87,1
buy,Apartment,2340000,Ness Ziona,HaOgen St. ,4.0,1.0,100,1
buy,Apartment,2490000,Rehovot,Carmel St. ,5.0,15.0,140,0
buy,Apartment,1245000,Rishon LeTsiyon,Tsadi Gimel Banot St. ,3.0,4.0,75,0
buy,Cottage/house,3850000,Rishon LeTsiyon,Mikhal Pokhachevski St. ,7.0,3.0,320,2
buy,Apartment,1590000,Rishon LeTsiyon,Rashi St.  44,3.0,2.0,80,1
buy,Apartment,1860000,Ashdod,Yehoyakhin ha-Melekh St. ,5.0,6.0,140,1
buy,Apartment,1680000,Rishon LeTsiyon,Natan Bernitski St. ,3.5,4.0,90,1
buy,Apartment,1680000,Rishon LeTsiyon,Natan Bernitski St. ,3.5,4.0,95,1
buy,Cottage/house,3350000,Rishon LeTsiyon,Yehuda Sagi St. ,6.0,3.0,200,5
buy,Apartment,2190000,Rishon LeTsiyon,Zalman Shazar St. ,5.0,2.0,120,1
buy,Apartment,2200000,Rishon LeTsiyon,Mohiliver St. ,5.0,2.0,130,1
buy,Cottage/house,3350000,Rishon LeTsiyon,Yehuda Sagi St.  8,7.0,3.0,200,5
buy,Duplex,4600000,Tel Aviv-Yafo,Lili Menakhem St. ,5.0,2.0,160,2
buy,Cottage/house,5500000,Tel Aviv-Yafo,Kam St. ,4.5,1.0,111,1
buy,Apartment,1390000,Bat Yam,Herzl St. ,2.5,4.0,86,0
buy,Apartment,1580000,Holon,Mesilat HaOlim St. ,4.0,3.0,80,1
buy,Apartment,1350000,Bat Yam,Kakal St. ,3.0,4.0,80,0
buy,Apartment,1830000,Holon,Haim Landau St. ,4.0,1.0,100,1
buy,Apartment,1380000,Bat Yam,David Remez St. ,2.5,2.0,70,0
buy,Apartment,2550000,Bat Yam,Ha-Rav Nisanbaum St. ,4.0,8.0,105,2
buy,Apartment,1160000,Bat Yam,Kakal St. ,2.5,2.0,61,0
buy,Apartment,1310000,Bat Yam,Bayit Vagan St. ,3.0,1.0,77,0
buy,Apartment,2590000,Holon,Yafa Avraham St. ,5.0,4.0,120,1
buy,Apartment,2620000,Bat Yam,HaRav Kuk St. ,4.0,12.0,105,4
buy,Apartment,1370000,Bat Yam,Yerushalayim St. ,2.5,2.0,80,0
buy,Rooftop apt,1900000,Holon,HaTanaim St. ,4.5,2.0,100,0
buy,Apartment,2750000,Bat Yam,Yohanan HaSandlar St.  8,4.0,14.0,110,2
buy,Apartment,1460000,Bat Yam,Rothschild St. ,3.0,3.0,70,1
buy,Apartment,1090000,Holon,Arba Aratsot St. ,3.0,3.0,70,0
buy,Apartment,1380000,Bat Yam,Yerushalayim St. ,3.0,2.0,75,0
buy,Apartment,1370000,Bat Yam,Bar Ilan St. ,2.0,2.0,60,0
buy,Apartment,2600000,Tel Aviv-Yafo,Haggibbor HaAlmoni St. ,4.0,7.0,100,0
buy,Apartment,1430000,Bat Yam,Herzl St. ,3.0,2.0,74,0
buy,Apartment,1990000,Rishon LeTsiyon,HaTizmoret St. ,3.5,1.0,90,1
buy,Apartment,1230000,Bat Yam,Trumpeldor St. ,2.0,1.0,55,0
buy,Apartment,2090000,Bat Yam,Ha-Sar Shapira St. ,4.5,3.0,100,1
buy,Apartment,1380000,Bat Yam,Ha-Rishonim St. ,3.5,3.0,84,0
buy,Apartment,2550000,Bat Yam,Jabotinsky St. ,4.0,11.0,110,1
buy,Apartment,2090000,Bat Yam,Ha-Neviim St. ,3.0,10.0,95,0
buy,Rooftop apt,3050000,Bat Yam,Shmuel Yosef Agnon St. ,5.0,4.0,190,1
buy,Apartment,1490000,Bat Yam,Ha-Sar Shapira St. ,3.0,2.0,70,0
buy,Apartment,1860000,Bat Yam,Masaryk St. ,3.0,8.0,85,1
buy,Apartment,2440000,Bat Yam,Masaryk St. ,4.0,4.0,102,1
buy,Apartment,1685000,Bat Yam,Bialik St.  3,4.0,3.0,100,2
buy,Apartment,1850000,Holon,Laskov St. ,5.0,1.0,100,1
buy,Apartment,2590000,Bat Yam,HaRav Tsvi Yehuda St. ,5.0,6.0,112,1
buy,Apartment,1420000,Bat Yam,HaAmadot St. ,3.0,3.0,70,0
buy,Apartment,1750000,Bat Yam,Masaryk St. ,3.5,3.0,110,0
buy,Garden apt,2090000,Tel Aviv-Yafo,Sderot Habad ,2.5,0.0,61,0
buy,Apartment,1500000,Bat Yam,Balfour St. ,4.0,1.0,100,0
buy,Garden apt,3550000,Bat Yam,HaRav Tsvi Yehuda St. ,5.0,0.0,115,1
buy,Apartment,1160000,Bat Yam,Yerushalayim St. ,2.0,1.0,70,0
buy,Apartment,1610000,Bat Yam,Ha-Neviim St.  23,3.0,1.0,80,1
buy,Apartment,1590000,Bat Yam,Yitshak Sadeh St.  33,2.5,4.0,84,0
buy,Apartment,1290000,Bat Yam,HaShikma St. ,3.0,4.0,75,0
buy,Apartment,1520000,Bat Yam,Livorno St. ,3.0,2.0,70,0
buy,Apartment,1290000,Bat Yam,Balfour St. ,2.5,3.0,78,0
buy,Apartment,1300000,Bat Yam,Balfour St. ,2.5,2.0,67,0
buy,Apartment,1360000,Bat Yam,Hasar Pinkas St. ,3.0,4.0,75,0
buy,Apartment,2380000,Bat Yam,Bialik St. ,4.5,2.0,100,1
buy,Apartment,2090000,Bat Yam,Masaryk St. ,3.0,4.0,94,1
buy,Rooftop apt,2440000,Bat Yam,Ha-Sar Shapira St. ,4.0,4.0,140,1
buy,Apartment,1590000,Bat Yam,Moshe Sharet St. ,3.0,3.0,70,1
buy,Apartment,1370000,Bat Yam,Bar Ilan St. ,3.0,4.0,68,1
buy,Apartment,2990000,Tel Aviv-Yafo,Moshe Dayan Road ,4.0,0.0,110,0
buy,Apartment,1950000,Tel Aviv-Yafo,Korkidi St. ,3.5,1.0,85,0
buy,Apartment,1850000,Tel Aviv-Yafo,Moshe Dayan Road ,4.0,3.0,85,0
buy,Apartment,2690000,Tel Aviv-Yafo,Peat Hashulhan St. ,3.5,2.0,78,1
buy,Apartment,1450000,Tel Aviv-Yafo,Haim Barlev Road ,3.0,4.0,62,0
buy,Garden apt,3900000,Tel Aviv-Yafo,Lohamei Galipoli St. ,4.0,0.0,120,0
buy,Apartment,1650000,Tel Aviv-Yafo,Sderot Sheshet HaYamim ,3.0,7.0,65,0
buy,Apartment,2020000,Tel Aviv-Yafo,Korkidi St. ,4.0,5.0,95,1
buy,Penthouse,3350000,Tel Aviv-Yafo,Korkidi St. ,5.0,7.0,130,1
buy,Apartment,2690000,Tel Aviv-Yafo,Yitzhak Sadeh St. ,4.0,3.0,110,0
buy,Rooftop apt,3200000,Tel Aviv-Yafo,Lehi Road ,5.0,10.0,126,0
buy,Apartment,2390000,Tel Aviv-Yafo,Shtulim St. ,3.0,11.0,8,1
buy,Apartment,2250000,Tel Aviv-Yafo,Dimona St. ,3.0,6.0,75,2
buy,Garden apt,3200000,Tel Aviv-Yafo,Yifrakh St. ,4.0,2.0,85,0
buy,Apartment,1250000,Tel Aviv-Yafo,Kibbutz Galuyot Road ,1.0,2.0,35,0
buy,Apartment,2080000,Tel Aviv-Yafo,Mahal St. ,4.0,5.0,100,1
buy,Cottage/house,3700000,Tel Aviv-Yafo,Sderot Sheshet HaYamim ,5.0,3.0,110,2
buy,Garden apt,2950000,Tel Aviv-Yafo,Haggibbor HaAlmoni St. ,4.0,0.0,95,0
buy,Apartment,2350000,Tel Aviv-Yafo,Asherman St. ,4.5,2.0,110,0
buy,Garden apt,1980000,Tel Aviv-Yafo,Misgav Am St. ,3.0,0.0,70,1
buy,Apartment,2230000,Tel Aviv-Yafo,Mahal St.  2,3.0,2.0,72,1
buy,Apartment,2680000,Tel Aviv-Yafo,Emek Brakha St. ,3.0,1.0,85,1
buy,Apartment,2400000,Tel Aviv-Yafo,Meitav St. ,2.0,2.0,58,1
buy,Apartment,2690000,Tel Aviv-Yafo,Mahal St. ,5.0,6.0,110,1
buy,Apartment,1890000,Tel Aviv-Yafo,Kehilat Brazil St. ,3.0,2.0,65,0
buy,Apartment,2650000,Tel Aviv-Yafo,Dimona St. ,4.0,3.0,90,1
buy,Apartment,2370000,Tel Aviv-Yafo,Nadav St. ,4.0,0.0,95,0
buy,Apartment,1750000,Tel Aviv-Yafo,Sderot Sheshet HaYamim ,3.0,1.0,60,1
buy,Apartment,3790000,Tel Aviv-Yafo,Meitav St. ,4.0,8.0,108,1
buy,Apartment,1880000,Tel Aviv-Yafo,Mahal St. ,4.0,0.0,90,2
buy,Rooftop apt,4500000,Tel Aviv-Yafo,Bacher St. ,4.0,1.0,130,4
buy,Apartment,1111111111111111,Tel Aviv-Yafo,Sumkan St.  24,5.0,0.0,117,0
buy,Apartment,2650000,Rishon LeTsiyon,Smilanski St.  13,5.0,3.0,135,2
buy,Cottage/house,4800000,Rishon LeTsiyon,Sheldon Glashow St. ,7.0,4.0,300,2
buy,Apartment,2090000,Rishon LeTsiyon,Ha-Rabi mi-Liubavich St. ,4.0,2.0,120,1
buy,Cottage/house,5100000,Rishon LeTsiyon,Ortal St. ,8.0,4.0,280,2
buy,Apartment,1770000,Rishon LeTsiyon,HaNagid St. ,3.0,2.0,73,1
buy,Villa,7000000,Rishon LeTsiyon,Mivtsa Dani St. ,6.0,4.0,320,2
buy,Cottage/house,4350000,Rishon LeTsiyon,HaMegila St. ,7.0,2.0,300,1
buy,Garden apt,2950000,Rishon LeTsiyon,HaUgav St. ,4.5,0.0,110,2
buy,Cottage/house,3700000,Rishon LeTsiyon,Naama St. ,6.0,2.0,230,2
buy,Cottage/house,5600000,Rishon LeTsiyon,Salvador Lurya St. ,4.0,2.0,330,2
buy,Cottage/house,6700000,Rishon LeTsiyon,Akhi Mivtakh St. ,10.0,3.0,428,2
buy,Cottage/house,7000000,Rishon LeTsiyon,Robert Fogel St. ,7.0,3.0,330,2
buy,Cottage/house,4180000,Rishon LeTsiyon,Nir Avraham St. ,7.0,3.0,200,2
buy,Apartment,2150000,Rishon LeTsiyon,Mivtsa Nahshon St. ,4.0,1.0,105,1
buy,Apartment,2180000,Rishon LeTsiyon,Ha-Sarig St. ,4.0,4.0,100,1
buy,Rooftop apt,2750000,Rishon LeTsiyon,Ha-Botsrim St. ,5.0,4.0,125,1
buy,Apartment,1580000,Jerusalem,Ha-Ezov St.  448,4.5,4.0,100,1
buy,Apartment,1850000,Rishon LeTsiyon,Tiomkin St.  1,4.0,3.0,95,1
buy,Apartment,1970000,Rishon LeTsiyon,Nordau St. ,4.0,3.0,95,1
buy,Apartment,1300000,Rishon LeTsiyon,David Alroi St. ,3.0,2.0,60,0
buy,Apartment,2100000,Rishon LeTsiyon,Tarmav St.  21,5.0,3.0,142,2
buy,Rooftop apt,3200000,Rishon LeTsiyon,Smilanski St.  13,6.0,5.0,157,1
buy,Apartment,1380000,Rishon LeTsiyon,Jabotinsky St. ,2.5,3.0,70,1
buy,Apartment,1620000,Rishon LeTsiyon,Janus Korczak St. ,3.0,3.0,80,1
buy,Apartment,2100000,Rishon LeTsiyon,Harimon St.  2,4.0,3.0,128,2
buy,Garden apt,4100000,Elad,Ibn Gabirol St.  7,7.0,1.0,430,1
buy,Apartment,1090000,Bat Yam,Derech Ben Gurion  138,2.0,7.0,36,2
buy,Mini penthouse,4000000,Azor,Jabotinski St.  1,5.0,12.0,164,2
buy,Apartment,2250000,Holon,Ha-Tsiyonut St.  39,5.0,5.0,118,2
buy,Apartment,1370000,Bat Yam,Kaf-Tet BeNovember St.  37,3.0,4.0,90,2
buy,Apartment,3750000,Tel Aviv-Yafo,Nakhalat Yitskhak St. ,4.5,4.0,112,1
buy,Apartment,2230000,Modiin-Maccabim-Reut,Tevet St.  16,4.0,4.0,110,2
buy,Apartment,1895000,Bat Yam,Tabenkin St. ,4.0,2.0,88,0
buy,Apartment,1900000,Rishon LeTsiyon,Ha-Khartsit St.  11,4.5,7.0,96,1
buy,Apartment,1930000,Jerusalem,Gibeon St.  9,3.0,0.0,58,0
buy,Apartment,1850000,Rehovot,Carmel St. ,3.0,4.0,85,1
buy,Duplex,2780000,Mazkeret Batya,Moshe Hershkovits St.  10,6.0,2.0,155,1
buy,Apartment,1790000,Rehovot,Rav Aluf Chaim Laskov St.  7,4.0,1.0,95,1
buy,Apartment,1980000,Rehovot,Naftali Ben Efrayim St. ,5.0,6.0,109,1
buy,Apartment,1780000,Rehovot,Shin Ben Zion St. ,4.0,4.0,90,1
buy,Cottage/house,2980000,Rehovot,HaGalil St. ,8.0,2.0,220,2
buy,Apartment,1170000,Bat Yam,Ha-Neviim St. ,2.0,1.0,58,0
buy,Apartment,1200000,Bat Yam,Berl Katzenelson St.  16,2.0,3.0,62,0
buy,Apartment,1350000,Bat Yam,Mivtsa Sinai St.  42,3.0,4.0,65,0
buy,Apartment,1290000,Bat Yam,Livorno St.  30,4.0,4.0,82,0
buy,Apartment,1185000,Bat Yam,Etrog St. ,2.0,2.0,60,0
buy,Apartment,2480000,Ramat Gan,Moshe Dayan St.  25,5.0,4.0,127,0
buy,Apartment,2550000,Ramat Gan,Sderot HaKongres  22,5.0,1.0,142,1
buy,Apartment,1700000,Rishon LeTsiyon,Shmaryahu Levin St.  25,3.5,3.0,86,1
buy,Duplex,2600000,Petah Tikva,Katz Michal Leib St. ,4.0,4.0,125,1
buy,Apartment,1635000,Bat Yam,Balfour St. ,3.5,3.0,90,1
buy,Apartment,1975000,Bat Yam,Ha-Meyasdim St. ,3.5,5.0,90,1
buy,Apartment,1575000,Bat Yam,Anilevich St.  3,4.0,2.0,115,1
buy,Apartment,1975000,Bat Yam,Etsel St. ,5.0,1.0,110,0
buy,Apartment,1295000,Bat Yam,HaShikma St.  36,2.5,4.0,74,1
buy,Apartment,1685000,Bat Yam,Balfour St.  134,4.0,2.0,92,0
buy,Apartment,1470000,Petah Tikva,Yehoshua Shtampfer St.  55,3.0,1.0,70,1
buy,Apartment,2170000,Petah Tikva,Rothschild St.  147,5.0,1.0,128,1
buy,Apartment,1820000,Rishon LeTsiyon,Khabad St. ,4.0,3.0,100,1
